FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
FL00027,DELCCU927,DEL,CCU,2024-03-12,131,B737,162,99,76678.38,155774.59
FL00028,SINMAA969,SIN,MAA,2024-02-20,299,B777,350,172,8234385.29,425974.66
FL00029,HYDBLR645,HYD,BLR,2024-09-05,57,A320,180,166,964724.89,155617.32
FL00030,DFWDEN334,DFW,DEN,2024-08-20,133,A320,180,140,72331.1,165930.68
FL00031,HKGSFO785,HKG,SFO,2024-04-07,710,B777,350,336,16594323.6,574005.31
FL00032,JFKLAX182,JFK,LAX,2024-10-26,334,A320,180,178,898809.68,193614.5
FL00033,MAASIN314,MAA,SIN,2024-10-31,293,A320,180,102,932141.2,195171.77
FL00034,HYDBLR645,HYD,BLR,2024-01-21,65,A320,180,166,986222.3,156090.07
FL00035,CCUDEL674,CCU,DEL,2024-06-09,127,B737,162,135,719134.92,153813.79
FL00036,KTMDEL629,KTM,DEL,2024-02-07,119,B737,162,65,476790.31,151156.15
FL00037,CCUDEL674,CCU,DEL,2024-03-08,122,B737,162,128,63465.59,154032.53
FL00038,MIABOS172,MIA,BOS,2024-12-26,193,B737,162,162,1007748.58,162673.11
FL00039,BOMDXB422,BOM,DXB,2024-12-05,185,B737,162,106,1964928.67,162900.9
FL00040,LHRBOM617,LHR,BOM,2024-05-24,568,B777,350,335,6596676.26,529569.72
FL00041,PHXLAS165,PHX,LAS,2024-01-27,77,A320,180,90,126934.44,154896.64
FL00042,DELHYD177,DEL,HYD,2024-05-14,116,B737,162,138,748113.2,154071.74
FL00043,CCUDAC142,CCU,DAC,2024-03-17,50,B737,162,126,2001870.1,143590.44
FL00044,GOIBOM673,GOI,BOM,2024-01-21,77,A320,180,150,728771.45,154982.12
FL00045,CCUDAC142,CCU,DAC,2024-11-13,71,B737,162,153,2320202.28,143602.64
FL00046,JFKDEL155,JFK,DEL,2024-07-30,592,B777,350,159,6113089.99,545816.93
FL00047,LAXNRT573,LAX,NRT,2024-05-07,691,A380,555,547,13646724.12,909926.45
FL00048,BLRHYD297,BLR,HYD,2024-08-23,78,A320,180,147,757757.8,155694.26
FL00049,DENDFW439,DEN,DFW,2024-02-05,129,A320,180,110,133824.82,164676.68
FL00050,BOMDEL453,BOM,DEL,2024-05-13,119,A320,180,180,132146.79,162749.11
FL00051,DXBLHR145,DXB,LHR,2024-08-11,440,A380,555,399,22900748.52,734145.22
FL00052,HKGSFO785,HKG,SFO,2024-09-23,708,B777,350,283,15048414.62,584956.67
FL00053,DELCCU927,DEL,CCU,2024-02-05,120,A320,180,144,96527.98,166316.75
FL00054,DXBLHR145,DXB,LHR,2024-09-16,436,A380,555,423,27259649.19,718848.43
FL00055,DELCCU927,DEL,CCU,2024-07-13,134,A320,180,152,689046.59,165072.86
FL00056,DXBBOM181,DXB,BOM,2024-05-26,176,A320,180,177,3904113.68,172136.4
FL00057,MIABOS172,MIA,BOS,2024-09-18,174,B737,162,152,77735.35,160910.0
FL00058,BOMGOI330,BOM,GOI,2024-11-20,62,A320,180,117,695611.69,155139.02
FL00059,JFKDEL155,JFK,DEL,2024-01-13,581,B777,350,242,14593876.97,538517.43
FL00060,SFOSEA804,SFO,SEA,2024-10-21,121,B737,162,147,678496.43,151466.05
FL00061,DELBOM405,DEL,BOM,2024-02-24,120,B737,162,96,67374.6,153321.72
FL00062,BLRDEL424,BLR,DEL,2024-03-03,169,B737,162,124,509323.99,161385.82
FL00063,SINSYD262,SIN,SYD,2024-11-09,506,A380,555,517,19316412.61,791710.53
FL00064,LHRDXB596,LHR,DXB,2024-08-18,448,A380,555,353,23388691.5,744448.56
FL00065,JFKLHR189,JFK,LHR,2024-08-13,452,B777,350,120,4437321.25,470518.54
FL00066,MAADEL655,MAA,DEL,2024-04-28,162,A320,180,121,129394.03,170935.64
FL00067,BOSMIA977,BOS,MIA,2024-04-15,172,A320,180,136,741669.01,176967.54
FL00068,CCUDAC142,CCU,DAC,2024-07-13,59,B737,162,139,1976060.72,143795.32
FL00069,BOMLHR621,BOM,LHR,2024-10-06,575,A380,555,544,38722190.43,791054.83
FL00070,BOMDEL453,BOM,DEL,2024-12-08,110,A320,180,164,751898.17,163839.0
FL00071,FRABLR286,FRA,BLR,2024-07-20,604,B777,350,268,8687199.45,531585.94
FL00072,BLRDEL424,BLR,DEL,2024-06-16,174,A320,180,145,866136.07,170533.55
FL00073,DXBBOM181,DXB,BOM,2024-02-11,169,A320,180,135,1613674.69,175294.83
FL00074,LHRJFK256,LHR,JFK,2024-11-29,454,B777,350,108,4366078.11,488247.86
FL00075,HYDBLR645,HYD,BLR,2024-12-08,68,A320,180,122,677918.63,155738.24
FL00076,BOMCCU689,BOM,CCU,2024-02-28,152,B737,162,93,109034.15,158645.69
FL00077,NRTLAX296,NRT,LAX,2024-07-11,696,A380,555,435,20245977.22,894199.47
FL00078,HYDBLR645,HYD,BLR,2024-06-03,82,A320,180,164,667813.5,156698.67
FL00079,DELBLR942,DEL,BLR,2024-08-07,163,A320,180,104,129856.8,168850.12
FL00080,PHXLAS165,PHX,LAS,2024-07-04,76,A320,180,147,699170.22,155413.21
FL00081,DXBDEL706,DXB,DEL,2024-05-18,208,B777,350,350,21046147.88,381739.97
FL00082,AMDDEL683,AMD,DEL,2024-05-05,103,A320,180,129,816691.86,160642.73
FL00083,FRABLR286,FRA,BLR,2024-06-21,615,A380,555,329,20209130.93,803759.9
FL00084,DELAMD347,DEL,AMD,2024-11-01,91,A320,180,129,211300.92,259709.92
FL00085,DXBLHR145,DXB,LHR,2024-10-11,457,B777,350,317,17038384.56,475229.03
FL00086,BOMDEL453,BOM,DEL,2024-04-23,123,A320,180,127,656296.89,163540.35
FL00087,DXBDEL706,DXB,DEL,2024-10-08,188,A320,180,164,1334300.23,175220.15
FL00088,DXBLHR145,DXB,LHR,2024-03-02,455,B777,350,283,12601071.26,465089.41
FL00089,LASPHX403,LAS,PHX,2024-10-28,59,A320,180,152,660599.8,155012.62
FL00090,BLRHYD297,BLR,HYD,2024-06-03,74,A320,180,89,95434.37,156686.07
FL00091,BOMGOI330,BOM,GOI,2024-03-05,62,B737,162,122,80095.09,144468.36
FL00092,LASPHX403,LAS,PHX,2024-06-23,55,A320,180,126,819939.82,215485.86
FL00093,DENDFW439,DEN,DFW,2024-10-22,121,A320,180,121,128764.22,165209.94
FL00094,MAADEL655,MAA,DEL,2024-03-01,176,B777,350,228,1502673.41,371056.64
FL00095,DXBDEL706,DXB,DEL,2024-08-14,186,A320,180,134,2186642.28,177062.6
FL00096,FRABLR286,FRA,BLR,2024-02-20,595,A380,555,327,7069462.15,837490.61
FL00097,HYDBLR645,HYD,BLR,2024-02-08,58,A320,180,117,520750.24,156020.28
FL00098,BLRHYD297,BLR,HYD,2024-05-24,82,A320,180,154,886121.11,156619.56
FL00099,DELJFK372,DEL,JFK,2024-12-04,571,A380,555,459,29317032.71,1032256.69
FL00100,BOMDXB422,BOM,DXB,2024-01-31,171,A320,180,157,4067319.26,173375.14
FL00101,MIABOS172,MIA,BOS,2024-12-18,186,A320,180,164,808860.74,174793.42
FL00102,MAADEL655,MAA,DEL,2024-08-09,173,B737,162,121,120409.58,158399.03
FL00103,DXBBOM181,DXB,BOM,2024-10-27,163,B737,162,162,1903561.32,160049.21
FL00104,SINSYD262,SIN,SYD,2024-08-28,505,A380,555,387,20758020.43,797329.49
FL00105,JFKLHR189,JFK,LHR,2024-02-16,440,A380,555,360,18749009.23,1232662.0
FL00106,LAXJFK190,LAX,JFK,2024-09-10,332,B777,350,333,2886103.46,433868.37
FL00107,JFKLAX182,JFK,LAX,2024-02-29,339,B737,162,105,152162.81,188956.04
FL00108,SINMAA969,SIN,MAA,2024-07-30,289,B777,350,140,6370700.43,416120.44
FL00109,SINSYD262,SIN,SYD,2024-05-16,495,B777,350,350,17547966.81,505857.69
FL00110,BOMDEL453,BOM,DEL,2024-11-07,119,B777,350,304,1992765.78,349076.87
FL00111,MAADEL655,MAA,DEL,2024-02-28,174,A320,180,101,101494.86,171323.65
FL00112,BOMGOI330,BOM,GOI,2024-05-19,57,A320,180,156,797938.87,155402.66
FL00113,DFWDEN334,DFW,DEN,2024-11-02,137,A320,180,167,953214.74,164273.26
FL00114,MAASIN314,MAA,SIN,2024-09-16,293,B777,350,217,11577682.71,423220.1
FL00115,LAXNRT573,LAX,NRT,2024-03-17,688,B777,350,235,8534494.29,581618.84
FL00116,BOSMIA977,BOS,MIA,2024-04-06,185,B777,350,246,1687185.48,381799.32
FL00117,DELBLR942,DEL,BLR,2024-08-30,170,A320,180,146,580448.02,171840.72
FL00118,HYDDEL202,HYD,DEL,2024-01-19,127,A320,180,123,630456.53,163831.2
FL00119,DXBDEL706,DXB,DEL,2024-01-08,200,B777,350,321,19810487.71,377531.9
FL00120,DELJFK372,DEL,JFK,2024-06-22,588,A380,555,463,26423654.12,799395.44
FL00121,MAASIN314,MAA,SIN,2024-06-11,294,B777,350,350,18065964.11,417011.04
FL00122,DELMAA878,DEL,MAA,2024-12-16,155,A320,180,180,1164514.15,171024.41
FL00123,JFKLHR189,JFK,LHR,2024-02-21,460,A380,555,407,29054105.12,706892.42
FL00124,BLRDEL424,BLR,DEL,2024-07-10,155,A320,180,114,199043.76,258792.83
FL00125,BOMCCU689,BOM,CCU,2024-11-08,147,A320,180,151,607811.31,171796.28
FL00126,BLRHYD297,BLR,HYD,2024-05-10,66,A320,180,169,1078601.66,156014.13
FL00127,NRTLAX296,NRT,LAX,2024-02-07,689,B777,350,220,9277899.54,816209.87
FL00128,SFOHKG814,SFO,HKG,2024-06-03,705,B777,350,291,10236097.75,557284.57
FL00129,ORDATL400,ORD,ATL,2024-12-24,151,B737,162,162,934818.89,155920.31
FL00130,SINMAA969,SIN,MAA,2024-01-26,299,B777,350,350,23619393.12,424591.07
FL00131,JFKDEL155,JFK,DEL,2024-06-29,591,B777,350,264,11766114.61,537936.8
FL00132,LAXNRT573,LAX,NRT,2024-03-11,690,A380,555,442,27785751.5,861136.31
FL00133,DELBLR942,DEL,BLR,2024-03-08,154,B737,162,53,95902.87,157965.59
FL00134,DELJFK372,DEL,JFK,2024-07-06,582,B777,350,296,14964423.46,515515.43
FL00135,JFKDEL155,JFK,DEL,2024-06-22,574,B777,350,302,5549082.38,537872.68
FL00136,SINMAA969,SIN,MAA,2024-12-11,300,B777,350,350,23299023.88,413340.79
FL00137,DENDFW439,DEN,DFW,2024-10-01,124,A320,180,76,67390.84,164227.23
FL00138,BOMDXB422,BOM,DXB,2024-07-09,179,B737,162,53,620350.49,162875.71
FL00139,JFKLAX182,JFK,LAX,2024-04-23,338,B777,350,295,1173843.42,437572.72
FL00140,SFOSEA804,SFO,SEA,2024-01-24,118,A320,180,157,886438.29,162084.85
FL00141,DELHYD177,DEL,HYD,2024-07-08,136,A320,180,143,763079.04,164883.12
FL00142,DXBLHR145,DXB,LHR,2024-07-31,440,B777,350,287,13011245.11,490415.12
FL00143,DELBLR942,DEL,BLR,2024-04-21,171,B737,162,154,536022.39,157644.36
FL00144,ATLORD193,ATL,ORD,2024-11-26,147,B737,162,123,115750.11,155364.81
FL00145,LAXNRT573,LAX,NRT,2024-11-23,680,B777,350,220,12098559.87,553628.36
FL00146,DELJFK372,DEL,JFK,2024-02-05,574,B777,350,242,6564945.53,540521.37
FL00147,LAXJFK190,LAX,JFK,2024-11-01,326,B777,350,189,1107103.32,423560.99
FL00148,JFKDEL155,JFK,DEL,2024-12-04,585,B777,350,280,5621487.49,539414.19
FL00149,JFKLAX182,JFK,LAX,2024-05-15,333,A320,180,101,532772.38,200857.16
FL00150,MIABOS172,MIA,BOS,2024-09-19,195,B737,162,126,129278.7,163096.0
FL00151,DELJFK372,DEL,JFK,2024-12-03,582,A380,555,520,53880541.19,780045.85
FL00152,MAASIN314,MAA,SIN,2024-12-17,285,B777,350,210,7938961.68,424514.24
FL00153,BLRFRA643,BLR,FRA,2024-03-05,609,B777,350,250,10318070.04,526743.88
FL00154,BOMGOI330,BOM,GOI,2024-11-05,77,A320,180,162,596794.72,155637.8
FL00155,LHRBOM617,LHR,BOM,2024-04-20,572,A380,555,517,33547473.04,830578.44
FL00156,SFOSEA804,SFO,SEA,2024-06-09,116,B737,162,152,684389.49,151224.44
FL00157,DELMAA878,DEL,MAA,2024-02-13,169,A320,180,50,75795.32,172779.8
FL00158,BLRDEL424,BLR,DEL,2024-10-14,174,B737,162,145,637202.45,160904.59
FL00159,SEASFO967,SEA,SFO,2024-01-27,107,B737,162,161,779783.87,152349.33
FL00160,HYDDEL202,HYD,DEL,2024-04-24,121,B737,162,120,546214.68,152722.53
FL00161,DELSIN670,DEL,SIN,2024-08-07,460,B777,350,303,15229620.12,835244.7
FL00162,BOMDEL453,BOM,DEL,2024-12-02,115,B737,162,139,601255.37,153340.61
FL00163,DELKTM414,DEL,KTM,2024-01-04,125,A320,180,145,1744318.98,162082.08
FL00164,JFKLHR189,JFK,LHR,2024-02-16,446,A380,555,328,18156422.67,723066.78
FL00165,GOIBOM673,GOI,BOM,2024-10-17,54,B737,162,158,587627.98,145276.58
FL00166,NRTLAX296,NRT,LAX,2024-08-14,700,B777,350,249,10238051.76,709276.93
FL00167,DELDXB146,DEL,DXB,2024-08-08,194,A320,180,79,846067.19,176820.43
FL00168,BLRHYD297,BLR,HYD,2024-11-02,81,A320,180,64,110939.64,156412.9
FL00169,DELAMD347,DEL,AMD,2024-03-02,111,A320,180,78,89436.97,208970.16
FL00170,BLRHYD297,BLR,HYD,2024-12-08,57,A320,180,139,951054.2,155455.84
FL00171,BOSMIA977,BOS,MIA,2024-06-09,175,B777,350,316,1353821.3,376323.63
FL00172,DENDFW439,DEN,DFW,2024-06-15,123,A320,180,180,914217.8,165624.27
FL00173,MAADEL655,MAA,DEL,2024-02-24,161,A320,180,126,512976.75,170846.89
FL00174,LHRDXB596,LHR,DXB,2024-06-19,438,B777,350,249,13927011.38,476576.89
FL00175,DACCCU362,DAC,CCU,2024-06-28,50,B737,162,162,3753493.86,143665.12
FL00176,DELCCU927,DEL,CCU,2024-03-19,132,A320,180,130,102596.76,166692.41
FL00177,BOSMIA977,BOS,MIA,2024-10-23,191,B737,162,160,768183.24,255850.36
FL00178,JFKLAX182,JFK,LAX,2024-11-17,343,B777,350,271,1956475.98,435862.81
FL00179,AMDDEL683,AMD,DEL,2024-06-29,98,B737,162,130,613301.68,149335.04
FL00180,DELMAA878,DEL,MAA,2024-02-16,177,B737,162,110,111151.32,159784.94
FL00181,LHRDXB596,LHR,DXB,2024-08-18,448,A380,555,410,20697704.14,735692.57
FL00182,HYDDEL202,HYD,DEL,2024-08-18,129,B777,350,174,1048035.89,357000.23
FL00183,LHRJFK256,LHR,JFK,2024-05-06,446,B777,350,350,18441442.61,480418.46
FL00184,ATLORD193,ATL,ORD,2024-07-17,153,B777,350,233,1627506.99,365302.89
FL00185,LAXJFK190,LAX,JFK,2024-02-18,337,A320,180,116,122323.89,201970.72
FL00186,SINMAA969,SIN,MAA,2024-02-11,297,A320,180,102,1498008.19,195406.04
FL00187,LAXNRT573,LAX,NRT,2024-10-31,686,B777,350,239,12256622.82,575184.29
FL00188,BOMDXB422,BOM,DXB,2024-12-25,182,A320,180,180,4514934.81,173160.39
FL00189,LAXNRT573,LAX,NRT,2024-07-04,700,B777,350,122,6525586.55,558919.37
FL00190,PHXLAS165,PHX,LAS,2024-03-11,70,A320,180,111,519200.92,155499.56
FL00191,DXBBOM181,DXB,BOM,2024-09-26,174,B737,162,64,548200.91,159412.56
FL00192,HYDDEL202,HYD,DEL,2024-12-20,126,A320,180,180,825542.44,164944.32
FL00193,ATLORD193,ATL,ORD,2024-05-01,140,B737,162,149,827043.62,157777.77
FL00194,BOMLHR621,BOM,LHR,2024-08-28,574,B777,350,217,10168154.72,526739.24
FL00195,BOSMIA977,BOS,MIA,2024-07-14,191,B737,162,112,124109.47,161057.27
FL00196,DELHYD177,DEL,HYD,2024-01-27,129,B737,162,162,884022.86,152685.33
FL00197,MAASIN314,MAA,SIN,2024-02-12,288,A320,180,109,2156642.5,188042.6
FL00198,MAADEL655,MAA,DEL,2024-04-23,164,B777,350,325,2976344.18,368850.15
FL00199,DELDXB146,DEL,DXB,2024-07-16,207,A320,180,122,1515725.92,179166.24
FL00200,LHRJFK256,LHR,JFK,2024-03-15,439,B777,350,113,5393549.7,483362.43
FL00201,SINSYD262,SIN,SYD,2024-08-17,496,A380,555,468,20845673.02,748600.39
FL00202,LHRBOM617,LHR,BOM,2024-11-07,561,A380,555,366,21954861.92,793066.06
FL00203,HYDBLR645,HYD,BLR,2024-11-14,57,A320,180,119,692448.69,156187.7
FL00204,JFKLHR189,JFK,LHR,2024-05-03,453,B777,350,278,10333666.1,471648.34
FL00205,SFOSEA804,SFO,SEA,2024-12-08,117,A320,180,124,529390.84,163322.36
FL00206,DELJFK372,DEL,JFK,2024-10-10,578,A380,555,317,16791564.4,1148876.6
FL00207,DELAMD347,DEL,AMD,2024-07-01,113,B737,162,108,485709.51,150620.96
FL00208,SINDEL765,SIN,DEL,2024-06-19,464,A380,555,243,16560128.6,742436.59
FL00209,NRTLAX296,NRT,LAX,2024-12-22,690,B777,350,287,12877467.18,579094.83
FL00210,DELBLR942,DEL,BLR,2024-01-23,162,A320,180,180,913055.48,170216.36
FL00211,BOMDXB422,BOM,DXB,2024-05-09,163,B737,162,86,1482224.13,162774.11
FL00212,SINMAA969,SIN,MAA,2024-05-19,287,B777,350,155,9849126.18,421247.84
FL00213,LAXJFK190,LAX,JFK,2024-09-11,320,B777,350,262,2252838.88,426915.67
FL00214,DXBLHR145,DXB,LHR,2024-08-08,434,B777,350,286,12478187.97,469482.64
FL00215,JFKLAX182,JFK,LAX,2024-06-05,332,B777,350,335,2192541.11,431263.02
FL00216,DELBLR942,DEL,BLR,2024-06-29,151,B737,162,138,722790.03,160558.75
FL00217,DELMAA878,DEL,MAA,2024-07-26,156,B737,162,131,573243.33,161482.12
FL00218,MAASIN314,MAA,SIN,2024-08-12,287,B777,350,100,4929292.36,413352.38
FL00219,DELSIN670,DEL,SIN,2024-03-19,458,B777,350,283,10534733.59,487443.36
FL00220,DELHYD177,DEL,HYD,2024-07-22,118,B737,162,105,526413.25,152453.39
FL00221,PHXLAS165,PHX,LAS,2024-10-14,72,A320,180,98,542890.33,155149.01
FL00222,BOMGOI330,BOM,GOI,2024-09-08,75,B737,162,108,116540.4,205759.73
FL00223,MIABOS172,MIA,BOS,2024-12-15,189,B777,350,350,3383069.39,627303.28
FL00224,BOMLHR621,BOM,LHR,2024-06-02,585,B777,350,335,21663289.68,529723.27
FL00225,ATLORD193,ATL,ORD,2024-03-03,144,B737,162,124,95992.57,156720.97
FL00226,LHRBOM617,LHR,BOM,2024-08-27,569,B777,350,256,11582808.37,505263.83
FL00227,DENDFW439,DEN,DFW,2024-09-02,122,B777,350,311,2708195.92,351760.03
FL00228,LHRJFK256,LHR,JFK,2024-08-26,455,B777,350,233,12048297.58,486235.56
FL00229,SINDEL765,SIN,DEL,2024-03-07,444,B777,350,279,8358623.75,465403.06
FL00230,GOIBOM673,GOI,BOM,2024-06-14,62,A320,180,138,900660.44,155476.45
FL00231,MAASIN314,MAA,SIN,2024-04-10,292,A320,180,146,2168368.52,189438.15
FL00232,MAADEL655,MAA,DEL,2024-03-27,171,B737,162,113,100963.44,160083.78
FL00233,LAXJFK190,LAX,JFK,2024-10-15,342,B777,350,199,1168267.87,443644.46
FL00234,DELSIN670,DEL,SIN,2024-04-17,460,B777,350,268,13668740.27,478300.32
FL00235,BOMLHR621,BOM,LHR,2024-06-03,562,B777,350,347,19941822.11,514631.79
FL00236,SFOHKG814,SFO,HKG,2024-08-13,709,B777,350,247,5631923.19,552156.49
FL00237,JFKLAX182,JFK,LAX,2024-06-25,328,B777,350,256,1916645.3,434151.87
FL00238,HYDBLR645,HYD,BLR,2024-05-16,76,A320,180,133,155285.51,262814.37
FL00239,SFOSEA804,SFO,SEA,2024-03-22,106,A320,180,145,655942.26,162352.17
FL00240,PHXLAS165,PHX,LAS,2024-08-27,69,B737,162,106,113810.83,145520.92
FL00241,BOSMIA977,BOS,MIA,2024-04-20,192,B777,350,223,1434268.35,651388.16
FL00242,NRTLAX296,NRT,LAX,2024-10-01,687,B777,350,121,4747381.24,554755.09
FL00243,SINSYD262,SIN,SYD,2024-01-24,494,B777,350,344,16101550.13,662425.98
FL00244,DFWDEN334,DFW,DEN,2024-10-08,115,B737,162,162,827469.24,152612.15
FL00245,DENDFW439,DEN,DFW,2024-06-22,124,A320,180,148,612864.16,165339.44
FL00246,DELDXB146,DEL,DXB,2024-01-20,204,A320,180,85,1898876.56,176414.19
FL00247,DACCCU362,DAC,CCU,2024-06-16,55,A320,180,145,2830153.57,154349.65
FL00248,SINDEL765,SIN,DEL,2024-09-17,451,B777,350,304,12720680.96,489260.07
FL00249,LAXJFK190,LAX,JFK,2024-08-01,318,B777,350,283,2113083.32,752523.81
FL00250,BLRFRA643,BLR,FRA,2024-12-01,608,B777,350,350,20725374.05,545293.07
FL00251,LASPHX403,LAS,PHX,2024-11-18,60,A320,180,160,704242.23,155875.04
FL00252,DELBLR942,DEL,BLR,2024-12-24,172,B737,162,59,80146.24,157863.65
FL00253,CCUDEL674,CCU,DEL,2024-11-09,121,A320,180,167,895414.03,164253.75
FL00254,DXBDEL706,DXB,DEL,2024-06-15,199,A320,180,156,3014961.82,179316.43
FL00255,DELKTM414,DEL,KTM,2024-10-06,124,B737,162,151,3187398.91,152602.49
FL00256,DELAMD347,DEL,AMD,2024-04-08,98,B737,162,116,108361.15,151325.91
FL00257,SYDSIN316,SYD,SIN,2024-04-16,517,B777,350,277,12937199.8,500511.4
FL00258,DXBLHR145,DXB,LHR,2024-03-03,443,B777,350,241,11868093.82,471966.76
FL00259,SYDSIN316,SYD,SIN,2024-05-28,512,A380,555,346,19727315.53,792780.48
FL00260,DELAMD347,DEL,AMD,2024-04-19,93,B737,162,131,720659.86,150773.8
FL00261,BOMBLR153,BOM,BLR,2024-10-27,100,B737,162,108,615882.68,150237.2
FL00262,BOMBLR153,BOM,BLR,2024-08-29,98,A320,180,84,173140.61,213262.32
FL00263,SFOSEA804,SFO,SEA,2024-08-31,121,B737,162,101,507136.86,151670.21
FL00264,BLRDEL424,BLR,DEL,2024-02-15,151,B777,350,209,1483818.67,372962.21
FL00265,DELKTM414,DEL,KTM,2024-08-01,114,B777,350,215,11335257.07,354476.84
FL00266,DELJFK372,DEL,JFK,2024-05-28,577,B777,350,240,12958432.2,508785.1
FL00267,BOMGOI330,BOM,GOI,2024-11-24,67,A320,180,143,79543.46,155871.06
FL00268,AMDDEL683,AMD,DEL,2024-02-27,89,A320,180,134,67992.46,161808.3
FL00269,LHRDXB596,LHR,DXB,2024-05-31,444,B777,350,341,14436984.84,487606.24
FL00270,BOMDXB422,BOM,DXB,2024-06-16,172,A320,180,97,1653384.46,265766.28
FL00271,KTMDEL629,KTM,DEL,2024-05-13,120,A320,180,154,2775371.46,162837.23
FL00272,DXBLHR145,DXB,LHR,2024-05-13,441,B777,350,332,5934845.01,462605.46
FL00273,BOMCCU689,BOM,CCU,2024-09-14,163,A320,180,168,486811.92,170826.9
FL00274,DELKTM414,DEL,KTM,2024-07-07,125,B777,350,219,7362937.99,348757.99
FL00275,BLRFRA643,BLR,FRA,2024-12-25,596,B777,350,330,12354179.16,542610.25
FL00276,SINSYD262,SIN,SYD,2024-11-01,494,B777,350,227,10399368.35,506071.76
FL00277,DELKTM414,DEL,KTM,2024-02-01,107,B737,162,129,1624135.71,152318.59
FL00278,JFKLAX182,JFK,LAX,2024-08-14,334,B777,350,113,783010.7,422602.88
FL00279,MIABOS172,MIA,BOS,2024-08-20,193,B737,162,61,131877.5,162819.64
FL00280,JFKDEL155,JFK,DEL,2024-01-12,568,B777,350,350,22632422.84,529965.5
FL00281,SEASFO967,SEA,SFO,2024-02-02,116,A320,180,98,482256.17,164649.92
FL00282,DELBLR942,DEL,BLR,2024-04-02,163,A320,180,160,962639.98,171758.92
FL00283,ATLORD193,ATL,ORD,2024-07-14,154,B777,350,296,1820973.12,358721.37
FL00284,SINMAA969,SIN,MAA,2024-11-30,279,B777,350,232,8331737.89,413912.22
FL00285,DXBLHR145,DXB,LHR,2024-01-02,445,A380,555,555,44493563.33,741904.67
FL00286,BOMLHR621,BOM,LHR,2024-04-27,583,B777,350,259,10668868.55,543016.02
FL00287,SINSYD262,SIN,SYD,2024-12-04,498,B777,350,350,24196800.09,479367.18
FL00288,DELMAA878,DEL,MAA,2024-01-18,153,A320,180,180,1237674.28,225356.12
FL00289,DENDFW439,DEN,DFW,2024-10-03,121,A320,180,174,644455.78,165017.29
FL00290,BLRHYD297,BLR,HYD,2024-10-21,66,B737,162,141,717269.74,145338.0
FL00291,CCUDAC142,CCU,DAC,2024-12-04,64,A320,180,165,3261389.14,154294.41
FL00292,CCUDAC142,CCU,DAC,2024-03-30,66,B737,162,106,1604260.42,181922.64
FL00293,LAXNRT573,LAX,NRT,2024-09-25,700,B777,350,268,10124738.61,560791.2
