RouteCode,MonthNumber,MonthlyProfit
BOMGOI330,6,2989489.74
BOMGOI330,7,3665043.62
BOMGOI330,8,1383648.81
BOMGOI330,9,821781.34
BOMGOI330,10,3015972.06
BOMGOI330,11,4019634.42
BOMGOI330,12,3431686.05
BOMLHR621,1,264558142.67
BOMLHR621,2,89868893.31
BOMLHR621,3,41137178.39
BOMLHR621,4,52711438.23
BOMLHR621,5,103537578.33
BOMLHR621,6,199919166.77
BOMLHR621,7,97621479.50
BOMLHR621,8,50960242.22
BOMLHR621,9,89275034.10
BOMLHR621,10,256470743.82
BOMLHR621,11,135667552.13
BOMLHR621,12,179083636.68
BOSMIA977,1,8619606.46
BOSMIA977,2,1586701.64
BOSMIA977,3,1320858.33
BOSMIA977,4,7731661.85
BOSMIA977,5,4993694.10
BOSMIA977,6,3646904.73
BOSMIA977,7,3501748.40
BOSMIA977,8,80423.12
BOSMIA977,9,5031719.73
BOSMIA977,10,3114436.27
BOSMIA977,11,5249087.26
BOSMIA977,12,2960822.80
CCUBOM220,1,2895340.99
CCUBOM220,2,778650.83
CCUBOM220,3,-45575.75
CCUBOM220,4,1938572.19
CCUBOM220,5,4128060.79
CCUBOM220,6,4746829.03
CCUBOM220,7,1466095.02
CCUBOM220,8,1062056.03
CCUBOM220,9,1937166.48
CCUBOM220,10,994466.82
CCUBOM220,11,1932997.31
CCUBOM220,12,10394291.42
CCUDAC142,1,3080971.49
CCUDAC142,2,10451470.60
CCUDAC142,3,18807445.46
CCUDAC142,4,5896645.99
CCUDAC142,5,22764106.69
CCUDAC142,6,2657723.45
CCUDAC142,7,21748383.42
CCUDAC142,8,7777030.87
CCUDAC142,9,14010007.10
CCUDAC142,10,21026424.95
CCUDAC142,11,13183192.55
CCUDAC142,12,16714266.87
CCUDEL674,1,6952140.11
CCUDEL674,2,-72509.33
CCUDEL674,3,-77038.77
CCUDEL674,4,3637932.56
CCUDEL674,5,5432533.08
CCUDEL674,6,5503503.72
CCUDEL674,7,1614540.88
CCUDEL674,8,924239.80
CCUDEL674,9,4233529.65
CCUDEL674,10,4426724.46
CCUDEL674,11,4307648.68
CCUDEL674,12,4551682.31
DACCCU362,1,27783948.99
DACCCU362,2,11769413.29
DACCCU362,3,14216740.80
DACCCU362,4,12652729.82
DACCCU362,5,31390634.59
DACCCU362,6,22577013.15
DACCCU362,7,7064944.86
DACCCU362,8,21445802.14
DACCCU362,9,8722329.38
DACCCU362,10,24064531.01
DACCCU362,11,10210223.22
DACCCU362,12,24006303.49
DELAMD347,1,3219374.47
DELAMD347,2,-344614.95
DELAMD347,3,2122109.90
DELAMD347,4,741424.16
DELAMD347,5,4261729.12
DELAMD347,6,3070838.02
DELAMD347,7,950084.04
DELAMD347,8,1818361.17
DELAMD347,9,1865210.06
DELAMD347,10,2371215.88
DELAMD347,11,2406651.15
DELAMD347,12,6378629.38
DELBLR942,1,7058236.74
DELBLR942,2,3258517.27
DELBLR942,3,1088568.09
DELBLR942,4,2824696.25
DELBLR942,5,1802341.48
DELBLR942,6,6238628.02
DELBLR942,7,1607985.51
DELBLR942,8,2089582.94
DELBLR942,9,1852910.19
DELBLR942,10,2422890.09
DELBLR942,11,1343695.06
DELBLR942,12,8720568.11
DELBOM405,1,5680018.44
DELBOM405,2,2196507.39
DELBOM405,3,650798.51
DELBOM405,4,3769705.71
DELBOM405,5,5113232.03
DELBOM405,6,2992739.59
DELBOM405,7,1782494.74
DELBOM405,8,-276526.65
DELBOM405,9,4684936.87
DELBOM405,10,1887342.44
DELBOM405,11,2204054.88
DELBOM405,12,6433036.36
DELCCU927,1,4308985.77
DELCCU927,2,-191414.93
DELCCU927,3,1968779.79
DELCCU927,4,2262968.65
DELCCU927,5,3461671.14
DELCCU927,6,6298372.87
DELCCU927,7,280770.41
DELCCU927,8,1244452.98
DELCCU927,9,1027613.76
DELCCU927,10,1458973.33
DELCCU927,11,4801112.63
DELCCU927,12,2929108.40
DELDXB146,1,29950357.99
DELDXB146,2,19967443.68
DELDXB146,3,12602206.79
DELDXB146,4,17714943.01
DELDXB146,5,17827937.28
DELDXB146,6,9295857.65
DELDXB146,7,24616359.25
DELDXB146,8,14145454.25
DELDXB146,9,15496370.91
DELDXB146,10,12654673.67
DELDXB146,11,25187450.04
DELDXB146,12,31135948.65
DELHYD177,1,5385785.57
DELHYD177,2,-2169.82
DELHYD177,3,842943.27
DELHYD177,4,2694839.04
DELHYD177,5,3164281.27
DELHYD177,6,1666142.44
DELHYD177,7,2239438.84
DELHYD177,8,113921.71
DELHYD177,9,1656086.88
DELHYD177,10,3580874.00
DELHYD177,11,2084963.88
DELHYD177,12,1773106.82
DELJFK372,1,254355351.52
DELJFK372,2,65238532.49
DELJFK372,3,66985616.37
DELJFK372,4,108851345.97
DELJFK372,5,134345013.98
DELJFK372,6,134605295.02
DELJFK372,7,50933637.96
DELJFK372,8,99133077.35
DELJFK372,9,104793399.36
DELJFK372,10,83905655.63
DELJFK372,11,142209218.59
DELJFK372,12,208273682.15
DELKTM414,1,16347993.05
DELKTM414,2,17782916.35
DELKTM414,3,29231709.13
DELKTM414,4,23597429.27
DELKTM414,5,26069975.44
DELKTM414,6,28981270.57
DELKTM414,7,17668866.40
DELKTM414,8,33650676.85
DELKTM414,9,26475462.87
DELKTM414,10,11841119.61
DELKTM414,11,28387964.80
DELKTM414,12,46604129.91
DELMAA878,1,2055622.97
DELMAA878,2,618219.90
DELMAA878,3,4795060.41
DELMAA878,4,4463958.80
DELMAA878,5,3839239.36
DELMAA878,6,2325671.40
DELMAA878,7,2637602.04
DELMAA878,8,2697284.30
DELMAA878,9,913405.33
DELMAA878,10,5476221.47
DELMAA878,11,472650.97
DELMAA878,12,5128289.92
DELSIN670,1,68825908.79
DELSIN670,2,5522683.13
DELSIN670,3,139711822.23
DELSIN670,4,102801702.54
DELSIN670,5,73382298.25
DELSIN670,6,217957456.38
DELSIN670,7,88555692.79
DELSIN670,8,166627791.64
DELSIN670,9,216468977.68
DELSIN670,10,131289018.67
DELSIN670,11,154483769.99
DELSIN670,12,200280004.23
DENDFW439,1,8860816.96
DENDFW439,2,2269520.02
DENDFW439,3,19038.85
DENDFW439,4,5289186.21
DENDFW439,5,2413359.46
DENDFW439,6,3365938.26
DENDFW439,7,2127071.72
DENDFW439,8,543239.20
DENDFW439,9,4441028.48
DENDFW439,10,2996441.45
DENDFW439,11,1678072.89
DENDFW439,12,6411697.18
DFWDEN334,1,6518436.90
DFWDEN334,2,1472504.97
DFWDEN334,3,422401.20
DFWDEN334,4,4118895.28
DFWDEN334,5,2639342.42
DFWDEN334,6,5570887.68
DFWDEN334,7,-303893.94
DFWDEN334,8,2265672.17
DFWDEN334,9,1629627.52
DFWDEN334,10,8274735.53
DFWDEN334,11,3879596.54
DFWDEN334,12,2226650.58
DXBBOM181,1,23228637.05
DXBBOM181,2,17021011.62
DXBBOM181,3,6556840.02
DXBBOM181,4,29296990.65
DXBBOM181,5,28494814.97
DXBBOM181,6,31804055.04
DXBBOM181,7,8989851.17
DXBBOM181,8,9672498.42
DXBBOM181,9,8289313.33
DXBBOM181,10,39282284.07
DXBBOM181,11,11636360.29
DXBBOM181,12,20485481.05
DXBDEL706,1,55414175.68
DXBDEL706,2,15321050.42
DXBDEL706,3,17425516.72
DXBDEL706,4,32577830.12
DXBDEL706,5,35905376.69
DXBDEL706,6,18976398.09
DXBDEL706,7,9397208.22
DXBDEL706,8,14035423.33
DXBDEL706,9,25566194.92
DXBDEL706,10,34524702.92
DXBDEL706,11,42509904.27
DXBDEL706,12,19035205.94
DXBLHR145,1,180024683.87
DXBLHR145,2,66727173.35
DXBLHR145,3,88159761.54
DXBLHR145,4,77119597.25
DXBLHR145,5,83955890.29
DXBLHR145,6,141716678.16
DXBLHR145,7,129888472.98
DXBLHR145,8,76588270.53
DXBLHR145,9,214796357.96
DXBLHR145,10,137156819.07
DXBLHR145,11,81438034.63
DXBLHR145,12,212025619.37
FRABLR286,1,142339147.18
FRABLR286,2,67545724.82
FRABLR286,3,47278801.96
FRABLR286,4,53466889.83
FRABLR286,5,182325962.15
FRABLR286,6,30280926.39
FRABLR286,7,60066637.31
FRABLR286,8,55356559.40
FRABLR286,9,117741578.87
FRABLR286,10,169651626.69
FRABLR286,11,39558783.19
FRABLR286,12,136747924.66
GOIBOM673,1,7222343.10
GOIBOM673,2,1229236.26
GOIBOM673,3,874602.30
GOIBOM673,4,3034897.06
GOIBOM673,5,2793818.07
GOIBOM673,6,4456756.24
GOIBOM673,7,1321975.36
GOIBOM673,8,4192412.60
GOIBOM673,9,2124454.73
GOIBOM673,10,3555387.23
GOIBOM673,11,377115.47
GOIBOM673,12,3777582.83
HKGSFO785,1,191813600.45
HKGSFO785,2,58564748.88
HKGSFO785,3,73571043.33
HKGSFO785,4,103812627.82
HKGSFO785,5,188617847.25
HKGSFO785,6,161193285.17
HKGSFO785,7,60678385.54
HKGSFO785,8,47295990.38
HKGSFO785,9,242501286.90
HKGSFO785,10,120902132.90
HKGSFO785,11,181668391.75
HKGSFO785,12,95896356.13
HYDBLR645,1,2914185.00
HYDBLR645,2,560980.33
HYDBLR645,3,-452378.80
HYDBLR645,4,834821.86
HYDBLR645,5,3968369.65
HYDBLR645,6,2961462.29
HYDBLR645,7,1461205.93
HYDBLR645,8,1711578.53
HYDBLR645,9,2766813.75
HYDBLR645,10,3179793.31
HYDBLR645,11,2587691.32
HYDBLR645,12,3218080.81
HYDDEL202,1,6981132.64
HYDDEL202,2,518621.20
HYDDEL202,3,2166128.33
HYDDEL202,4,3170879.67
HYDDEL202,5,6466604.99
HYDDEL202,6,9864871.95
HYDDEL202,7,88335.07
HYDDEL202,8,3646164.65
HYDDEL202,9,917197.23
HYDDEL202,10,3555750.09
HYDDEL202,11,523069.83
HYDDEL202,12,5983941.81
JFKDEL155,1,171426427.72
JFKDEL155,2,145871470.05
JFKDEL155,3,31015358.08
JFKDEL155,4,175291417.94
JFKDEL155,5,155838223.13
JFKDEL155,6,221177313.88
JFKDEL155,7,105924392.38
JFKDEL155,8,56119769.26
JFKDEL155,9,67990604.30
JFKDEL155,10,109919961.83
JFKDEL155,11,172253738.89
JFKDEL155,12,74351123.39
JFKLAX182,1,13240054.07
JFKLAX182,2,3429183.51
JFKLAX182,3,2202316.44
JFKLAX182,4,8594636.16
JFKLAX182,5,331915.22
JFKLAX182,6,9441567.57
JFKLAX182,7,3221904.02
JFKLAX182,8,2595378.60
JFKLAX182,9,4356053.79
JFKLAX182,10,3989576.98
JFKLAX182,11,10746810.27
JFKLAX182,12,6733085.12
JFKLHR189,1,150244900.59
JFKLHR189,2,141968871.17
JFKLHR189,3,33582038.02
JFKLHR189,4,77720059.56
JFKLHR189,5,128558241.45
JFKLHR189,6,90725086.42
JFKLHR189,7,214547087.51
JFKLHR189,8,138321185.77
JFKLHR189,9,58707374.00
JFKLHR189,10,122012042.97
JFKLHR189,11,72680404.65
JFKLHR189,12,140239538.56
KTMDEL629,1,3453122.30
KTMDEL629,2,10501602.03
KTMDEL629,3,5881263.55
KTMDEL629,4,3730647.03
KTMDEL629,5,32365003.01
KTMDEL629,6,18852963.06
KTMDEL629,7,13174915.94
KTMDEL629,8,29665490.89
KTMDEL629,9,8445674.10
KTMDEL629,10,24690812.10
KTMDEL629,11,37071042.57
KTMDEL629,12,12362406.32
LASPHX403,1,5320581.70
LASPHX403,2,293260.79
LASPHX403,3,183948.00
LASPHX403,4,4588364.03
LASPHX403,5,565867.68
LASPHX403,6,4668581.01
LASPHX403,7,598961.01
LASPHX403,8,583945.37
LASPHX403,9,2554364.62
LASPHX403,10,2657238.89
LASPHX403,11,5505313.59
LASPHX403,12,5848628.63
LAXJFK190,1,10763754.78
LAXJFK190,2,2428078.32
LAXJFK190,3,4476355.45
LAXJFK190,4,3227450.19
LAXJFK190,5,4143528.53
LAXJFK190,6,7907904.86
LAXJFK190,7,4707971.79
LAXJFK190,8,4274766.69
LAXJFK190,9,9292122.82
LAXJFK190,10,9954406.69
LAXJFK190,11,1421785.42
LAXJFK190,12,9302385.78
LAXNRT573,1,228017512.78
LAXNRT573,2,99915375.70
LAXNRT573,3,107427880.98
LAXNRT573,4,116300001.56
LAXNRT573,5,227994913.56
LAXNRT573,6,220930097.94
LAXNRT573,7,116635909.74
LAXNRT573,8,148414225.74
LAXNRT573,9,46774227.71
LAXNRT573,10,162071016.10
LAXNRT573,11,247390106.71
LAXNRT573,12,237673754.41
LHRBOM617,1,129751454.52
LHRBOM617,2,75052858.52
LHRBOM617,3,74075017.73
LHRBOM617,4,172360968.96
LHRBOM617,5,49758182.14
LHRBOM617,6,213493934.24
LHRBOM617,7,83608790.14
LHRBOM617,8,98891288.07
LHRBOM617,9,130938632.71
LHRBOM617,10,184245351.49
LHRBOM617,11,115871190.95
LHRBOM617,12,242237980.16
LHRDXB596,1,163965828.31
LHRDXB596,2,19413376.89
LHRDXB596,3,36224980.10
LHRDXB596,4,85703730.88
LHRDXB596,5,169344778.68
LHRDXB596,6,91047848.41
LHRDXB596,7,122042717.35
LHRDXB596,8,87388188.32
LHRDXB596,9,185032784.00
LHRDXB596,10,116403375.23
LHRDXB596,11,98626856.68
LHRDXB596,12,248668483.69
LHRJFK256,1,130238437.31
LHRJFK256,2,40113559.94
LHRJFK256,3,28101126.73
LHRJFK256,4,17274488.34
LHRJFK256,5,110273759.87
LHRJFK256,6,111647948.19
LHRJFK256,7,204111833.76
LHRJFK256,8,147488891.54
LHRJFK256,9,86340918.98
LHRJFK256,10,76227556.95
LHRJFK256,11,159154399.74
LHRJFK256,12,156262365.00
MAADEL655,1,6131675.27
MAADEL655,2,1655706.54
MAADEL655,3,2911464.70
MAADEL655,4,3900558.27
MAADEL655,5,2632502.12
MAADEL655,6,4222987.44
MAADEL655,7,2199151.94
MAADEL655,8,1857357.68
MAADEL655,9,4218098.45
MAADEL655,10,2737735.22
MAADEL655,11,2226713.38
MAADEL655,12,6258755.13
MAASIN314,1,71012735.32
MAASIN314,2,30865312.05
MAASIN314,3,26091533.06
MAASIN314,4,45105539.85
MAASIN314,5,41471349.89
MAASIN314,6,146878959.66
MAASIN314,7,54697542.08
MAASIN314,8,47523249.01
MAASIN314,9,41463866.50
MAASIN314,10,69008896.15
MAASIN314,11,4720530.31
MAASIN314,12,62490424.42
MIABOS172,1,6720350.42
MIABOS172,2,2872127.04
MIABOS172,3,-131479.43
MIABOS172,4,-286532.15
MIABOS172,5,4226596.69
MIABOS172,6,3801253.07
MIABOS172,7,2200600.24
MIABOS172,8,-231437.39
MIABOS172,9,7244408.99
MIABOS172,10,784943.67
MIABOS172,11,3244415.31
MIABOS172,12,9559186.82
NRTLAX296,1,248473433.60
NRTLAX296,2,120853738.23
NRTLAX296,3,29005928.02
NRTLAX296,4,174623671.58
NRTLAX296,5,73863531.72
NRTLAX296,6,131654036.80
NRTLAX296,7,152491947.01
NRTLAX296,8,128529937.71
NRTLAX296,9,58141629.40
NRTLAX296,10,98411234.64
NRTLAX296,11,91775659.69
NRTLAX296,12,150239993.91
ORDATL400,1,4095306.89
ORDATL400,2,494364.33
ORDATL400,3,745817.25
ORDATL400,4,589224.27
ORDATL400,5,4548202.86
ORDATL400,6,4130841.02
ORDATL400,7,2156525.28
ORDATL400,8,3834022.81
ORDATL400,9,1328183.56
ORDATL400,10,2974600.15
ORDATL400,11,2015480.08
ORDATL400,12,4741011.56
PHXLAS165,1,5689341.69
PHXLAS165,2,944174.22
PHXLAS165,3,2001289.12
PHXLAS165,4,2282259.36
PHXLAS165,5,2269464.87
PHXLAS165,6,3823786.92
PHXLAS165,7,1319834.95
PHXLAS165,8,447005.28
PHXLAS165,9,1343213.41
PHXLAS165,10,3628629.85
PHXLAS165,11,2124416.85
PHXLAS165,12,3155346.03
SEASFO967,1,3953434.45
SEASFO967,2,1109030.25
SEASFO967,3,-139507.71
SEASFO967,4,2184836.76
SEASFO967,5,2725765.36
SEASFO967,6,3502615.38
SEASFO967,7,2332431.04
SEASFO967,8,2246096.52
SEASFO967,9,5371149.32
SEASFO967,10,2993041.36
SEASFO967,11,1874241.49
SEASFO967,12,7826608.97
SFOHKG814,1,81036075.74
SFOHKG814,2,75647143.03
SFOHKG814,3,53775241.48
SFOHKG814,4,79750015.34
SFOHKG814,5,100151905.82
SFOHKG814,6,266327421.35
SFOHKG814,7,69605460.27
SFOHKG814,8,73403418.42
SFOHKG814,9,49950374.15
SFOHKG814,10,113709991.85
SFOHKG814,11,95834210.66
SFOHKG814,12,247291191.57
SFOSEA804,1,5031499.04
SFOSEA804,2,907079.67
SFOSEA804,3,2451996.20
SFOSEA804,4,1812521.97
SFOSEA804,5,5566152.72
SFOSEA804,6,6611022.35
SFOSEA804,7,2438798.77
SFOSEA804,8,1182636.09
SFOSEA804,9,1349034.72
SFOSEA804,10,5607261.53
SFOSEA804,11,1481519.70
SFOSEA804,12,5896833.59
SINDEL765,1,253110359.43
SINDEL765,2,119323987.98
SINDEL765,3,107638983.94
SINDEL765,4,106522520.00
SINDEL765,5,184787038.04
SINDEL765,6,178092651.65
SINDEL765,7,100595000.34
SINDEL765,8,86696838.55
SINDEL765,9,110374598.33
SINDEL765,10,171023307.84
SINDEL765,11,90225826.60
SINDEL765,12,134190073.67
SINMAA969,1,66752397.08
SINMAA969,2,16365724.08
SINMAA969,3,17355172.05
SINMAA969,4,65959950.53
SINMAA969,5,66769059.04
SINMAA969,6,71723840.50
SINMAA969,7,67649684.66
SINMAA969,8,25795352.44
SINMAA969,9,13690376.95
SINMAA969,10,27790244.05
SINMAA969,11,39495374.36
SINMAA969,12,114270021.50
SINSYD262,1,221575163.32
SINSYD262,2,39282030.83
SINSYD262,3,23099627.92
SINSYD262,4,125928246.96
SINSYD262,5,51860122.26
SINSYD262,6,146134900.43
SINSYD262,7,39590404.65
SINSYD262,8,109837889.07
SINSYD262,9,75642967.57
SINSYD262,10,167791356.85
SINSYD262,11,195586000.82
SINSYD262,12,300261971.84
SYDSIN316,1,123837947.35
SYDSIN316,2,53532918.39
SYDSIN316,3,78250329.53
SYDSIN316,4,111823585.60
SYDSIN316,5,240269380.27
SYDSIN316,6,66797802.08
SYDSIN316,7,53889810.28
SYDSIN316,8,119995711.53
SYDSIN316,9,146603281.48
SYDSIN316,10,206441103.86
SYDSIN316,11,120398190.11
SYDSIN316,12,235730387.78
